Order ID,Order Date,Ship Mode,Segment,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
CA-2016-86552,2020-11-27,Standard Class,Corporate,Illinois,East,Furniture,Binders,179.52,6,0.23,-5.77
CA-2016-78148,2017-05-08,Same Day,Consumer,Ohio,South,Furniture,Tables,4213.86,2,0.26,-854.37
CA-2016-33483,2022-01-20,First Class,Corporate,Illinois,East,Technology,Accessories,2335.06,2,0.41,-505.9
CA-2018-27159,2021-02-09,Standard Class,Consumer,Illinois,West,Office Supplies,Copiers,476.34,7,0.21,23.64
CA-2017-90077,2019-01-30,Standard Class,Corporate,Ohio,West,Technology,Chairs,3537.03,1,0.35,-422.4
CA-2015-77121,2018-02-08,First Class,Corporate,Illinois,South,Technology,Paper,2451.56,7,0.22,-336.36
CA-2018-29457,2019-11-19,Same Day,Home Office,Texas,South,Office Supplies,Accessories,962.83,5,0.21,-11.44
CA-2016-62995,2021-12-21,Standard Class,Home Office,New York,South,Technology,Paper,88.21,1,0.38,-14.28
CA-2019-55758,2017-12-04,Second Class,Home Office,Washington,West,Furniture,Copiers,2095.81,6,0.09,-64.33
CA-2016-82409,2019-04-11,Standard Class,Consumer,Illinois,West,Furniture,Paper,437.29,7,0.17,41.03
CA-2018-75697,2018-12-15,Second Class,Consumer,Illinois,Central,Furniture,Paper,479.91,1,0.11,79.94
CA-2016-42606,2017-12-27,Same Day,Corporate,Florida,South,Furniture,Phones,1343.97,9,0.18,111.03
CA-2018-11016,2018-07-23,Standard Class,Corporate,New York,Central,Office Supplies,Binders,3155.99,7,0.12,429.71
CA-2019-33247,2020-11-16,First Class,Corporate,California,East,Technology,Tables,2654.25,1,0.29,-142.69
CA-2019-84065,2017-08-06,First Class,Corporate,New York,Central,Technology,Tables,354.25,3,0.4,-67.89
CA-2019-96807,2021-05-17,Standard Class,Consumer,New York,East,Furniture,Chairs,4842.47,5,0.39,-824.88
CA-2016-73704,2021-08-20,Same Day,Corporate,Ohio,East,Furniture,Phones,4436.97,4,0.18,317.68
CA-2018-49099,2017-07-21,Same Day,Corporate,Ohio,Central,Technology,Accessories,1303.54,2,0.49,-357.66
CA-2018-48044,2017-01-17,First Class,Home Office,Ohio,South,Office Supplies,Accessories,620.47,1,0.3,-104.28
CA-2019-58984,2017-11-18,Standard Class,Corporate,Washington,East,Technology,Tables,4712.59,4,0.2,-263.95
CA-2015-72592,2018-06-02,Same Day,Corporate,New York,South,Furniture,Binders,2311.1,7,0.42,-336.81
CA-2018-12695,2021-05-13,First Class,Corporate,Washington,West,Furniture,Paper,1562.72,4,0.36,-477.75
CA-2017-97538,2020-09-10,Second Class,Consumer,Illinois,East,Office Supplies,Copiers,2456.89,9,0.37,-356.97
CA-2015-43159,2020-12-06,Standard Class,Home Office,Ohio,West,Technology,Chairs,3865.99,8,0.1,729.49
CA-2017-71858,2020-09-03,Second Class,Corporate,Illinois,Central,Office Supplies,Binders,850.24,8,0.23,-2.93
CA-2015-22666,2018-11-12,Second Class,Corporate,Ohio,South,Office Supplies,Tables,3839.8,5,0.43,-505.02
CA-2019-13561,2022-06-12,Same Day,Home Office,Texas,Central,Furniture,Phones,3749.74,1,0.25,-105.42
CA-2016-62251,2020-01-11,Same Day,Corporate,Washington,East,Technology,Chairs,2701.35,9,0.34,-760.18
CA-2015-40535,2021-02-06,Same Day,Consumer,Washington,West,Furniture,Tables,4330.55,2,0.29,-143.98
CA-2018-62256,2021-01-31,Standard Class,Corporate,California,East,Technology,Accessories,669.4,6,0.42,-200.05
CA-2019-94651,2018-03-01,Second Class,Consumer,Florida,Central,Furniture,Chairs,2981.44,5,0.14,64.14
CA-2017-80592,2022-05-23,Standard Class,Consumer,New York,South,Furniture,Tables,2252.22,8,0.29,-364.81
CA-2017-18110,2021-10-21,Same Day,Corporate,California,South,Technology,Accessories,2117.24,3,0.06,120.98
CA-2017-62992,2021-09-09,Second Class,Home Office,Washington,East,Technology,Copiers,1270.28,6,0.35,-244.08
CA-2019-16910,2020-05-12,Standard Class,Consumer,California,East,Furniture,Accessories,1867.68,6,0.37,-420.81
CA-2017-10206,2021-05-26,Standard Class,Home Office,Texas,West,Technology,Paper,549.67,3,0.02,103.52
CA-2016-33419,2019-10-16,First Class,Corporate,Florida,Central,Furniture,Phones,1265.48,7,0.34,-109.73
CA-2019-60015,2018-01-22,Standard Class,Consumer,Washington,East,Technology,Paper,1367.11,4,0.21,-117.2
CA-2015-64268,2019-02-17,Same Day,Corporate,Washington,West,Furniture,Tables,3606.13,5,0.06,156.62
CA-2018-28141,2017-04-08,Standard Class,Home Office,New York,East,Furniture,Copiers,252.27,9,0.21,1.7
CA-2019-81910,2020-09-30,Second Class,Corporate,Ohio,South,Furniture,Binders,3259.45,6,0.1,383.25
CA-2019-77214,2022-01-01,Standard Class,Corporate,Florida,West,Office Supplies,Copiers,1114.84,4,0.21,72.78
CA-2017-43827,2017-07-27,First Class,Consumer,Texas,West,Technology,Copiers,418.49,8,0.19,-56.92
CA-2019-72623,2021-03-18,Second Class,Corporate,Illinois,East,Furniture,Copiers,1511.02,9,0.37,-161.29
CA-2017-32299,2021-07-18,Second Class,Corporate,California,Central,Office Supplies,Paper,1130.12,5,0.39,-237.04
CA-2016-74044,2021-12-21,First Class,Corporate,New York,South,Furniture,Binders,2764.64,2,0.3,-261.74
CA-2015-12693,2018-08-09,Same Day,Consumer,Washington,Central,Office Supplies,Accessories,1793.31,6,0.01,112.7
CA-2018-79163,2017-06-15,Second Class,Home Office,Illinois,West,Furniture,Tables,4830.31,8,0.47,-1506.31
CA-2018-58925,2017-01-22,Same Day,Home Office,Texas,Central,Furniture,Phones,4818.11,5,0.34,-1123.46
CA-2017-28047,2017-06-03,Second Class,Corporate,Florida,West,Office Supplies,Binders,2224.14,1,0.02,208.08
CA-2016-85766,2022-05-17,Second Class,Consumer,California,Central,Office Supplies,Tables,3977.49,8,0.41,-930.64
CA-2018-31976,2021-01-02,Same Day,Corporate,New York,East,Technology,Binders,76.21,9,0.1,11.67
CA-2015-40080,2020-08-11,Second Class,Home Office,Washington,Central,Technology,Paper,2743.58,1,0.29,-148.3
CA-2015-76842,2017-08-07,Same Day,Consumer,Washington,West,Office Supplies,Tables,3719.06,8,0.23,-119.94
CA-2015-65016,2018-10-31,First Class,Home Office,Illinois,South,Technology,Paper,1092.55,2,0.21,-27.47
CA-2017-68053,2021-02-27,Same Day,Home Office,Illinois,South,Office Supplies,Chairs,315.25,4,0.44,-89.27
CA-2017-13748,2017-08-18,First Class,Consumer,California,South,Technology,Tables,788.04,2,0.22,57.67
CA-2015-23545,2017-01-20,Second Class,Consumer,Florida,West,Furniture,Binders,2214.82,2,0.04,332.33
CA-2018-76199,2018-07-07,Same Day,Corporate,Texas,Central,Technology,Chairs,2536.79,3,0.47,-904.39
CA-2017-71087,2019-08-08,Second Class,Corporate,Ohio,South,Furniture,Paper,1910.62,8,0.46,-673.45
CA-2015-64384,2017-05-28,Same Day,Home Office,Florida,South,Furniture,Paper,2205.47,4,0.34,-302.51
CA-2015-49353,2020-02-06,First Class,Consumer,Florida,South,Technology,Binders,2356.47,7,0.23,-116.16
CA-2018-93211,2018-02-07,First Class,Consumer,Florida,East,Office Supplies,Chairs,3849.49,3,0.05,7.41
CA-2016-99474,2018-08-19,Same Day,Corporate,Ohio,West,Furniture,Copiers,535.16,3,0.4,-76.25
CA-2015-77172,2021-02-15,First Class,Home Office,California,West,Furniture,Accessories,3847.06,2,0.04,715.67
CA-2015-36736,2018-01-02,Second Class,Home Office,Ohio,West,Technology,Phones,3446.25,6,0.03,639.13
CA-2016-10854,2022-02-01,Second Class,Corporate,California,West,Office Supplies,Binders,3710.89,6,0.27,-752.59
CA-2019-48623,2020-12-08,Standard Class,Consumer,Ohio,West,Office Supplies,Paper,3675.0,1,0.08,222.39
CA-2015-65680,2020-08-25,First Class,Corporate,Texas,East,Technology,Tables,2358.25,7,0.0,669.38
CA-2017-56717,2019-03-13,Second Class,Corporate,Florida,Central,Office Supplies,Chairs,1064.89,4,0.21,59.26
CA-2016-97092,2019-07-07,Same Day,Corporate,California,East,Technology,Accessories,2687.78,3,0.07,138.11
CA-2018-36309,2022-02-02,First Class,Corporate,Ohio,South,Technology,Phones,4790.33,8,0.08,44.38
CA-2018-62662,2020-03-03,Second Class,Consumer,Texas,East,Technology,Tables,2946.74,2,0.04,360.3
CA-2017-22688,2021-10-09,First Class,Corporate,Ohio,West,Furniture,Chairs,65.13,9,0.1,2.54
CA-2019-62083,2020-07-30,Same Day,Consumer,Washington,East,Furniture,Accessories,307.96,8,0.36,-42.94
CA-2016-75733,2021-12-07,Second Class,Corporate,Texas,West,Furniture,Binders,4964.39,8,0.4,-538.1
CA-2017-90623,2017-03-14,Standard Class,Home Office,Florida,East,Technology,Accessories,369.01,3,0.23,-32.93
CA-2015-52107,2018-04-26,Standard Class,Consumer,New York,West,Furniture,Binders,239.77,4,0.25,-44.22
CA-2017-61663,2020-10-07,First Class,Home Office,Florida,South,Furniture,Copiers,1771.59,2,0.02,450.7
CA-2019-59811,2018-07-14,Same Day,Corporate,New York,West,Furniture,Chairs,4846.89,2,0.03,142.92
CA-2018-66250,2020-09-11,Second Class,Corporate,Texas,East,Technology,Accessories,1600.19,4,0.13,253.14
CA-2018-82082,2019-01-15,Same Day,Corporate,Washington,South,Technology,Phones,2055.32,6,0.27,-110.69
CA-2016-44754,2021-01-06,Second Class,Consumer,Washington,East,Technology,Accessories,3174.04,5,0.37,-268.45
CA-2017-21411,2017-04-10,First Class,Home Office,California,South,Furniture,Chairs,130.32,1,0.3,-26.08
CA-2018-18680,2019-12-19,Second Class,Consumer,Washington,Central,Office Supplies,Tables,4489.84,1,0.2,-627.79
CA-2015-93879,2018-05-23,Same Day,Consumer,Illinois,Central,Furniture,Tables,2602.02,6,0.06,291.56
CA-2016-21111,2017-09-15,Same Day,Corporate,Texas,Central,Furniture,Accessories,2339.39,3,0.39,-531.85
CA-2015-11802,2018-02-17,First Class,Home Office,California,East,Technology,Accessories,4305.03,3,0.18,-202.88
CA-2018-83656,2021-01-15,Same Day,Corporate,Washington,East,Technology,Binders,4765.85,7,0.37,-384.06
CA-2015-57254,2019-12-25,Second Class,Consumer,Texas,South,Furniture,Chairs,2122.89,1,0.26,-9.24
CA-2016-40306,2018-08-18,First Class,Corporate,Florida,South,Furniture,Binders,870.48,1,0.37,-134.58
CA-2018-26371,2020-03-23,Second Class,Home Office,Washington,South,Office Supplies,Phones,4080.39,3,0.45,-1466.02
CA-2018-12049,2017-09-23,Same Day,Corporate,Ohio,South,Office Supplies,Copiers,2022.27,8,0.46,-457.88
CA-2015-30932,2019-04-01,First Class,Home Office,New York,West,Technology,Tables,4678.37,1,0.27,-178.93
CA-2019-39855,2020-01-08,Second Class,Home Office,Texas,Central,Office Supplies,Paper,4750.0,4,0.26,-492.73
CA-2017-82694,2020-08-31,Same Day,Corporate,California,West,Office Supplies,Paper,583.0,9,0.13,88.15
CA-2015-17400,2018-10-24,Same Day,Consumer,Florida,West,Technology,Chairs,4783.2,4,0.47,-1809.27
CA-2017-52642,2019-08-05,Standard Class,Corporate,Illinois,West,Office Supplies,Chairs,1847.67,8,0.23,-209.09
CA-2017-14499,2018-07-14,Same Day,Consumer,Florida,West,Furniture,Paper,3234.8,7,0.06,18.78
CA-2015-22183,2019-07-06,Second Class,Consumer,Washington,Central,Office Supplies,Chairs,183.4,3,0.22,5.29
CA-2018-22874,2019-06-10,First Class,Corporate,New York,West,Technology,Tables,4445.53,7,0.06,646.56
CA-2015-42711,2020-06-25,Standard Class,Consumer,Florida,South,Furniture,Phones,3211.57,7,0.25,-389.45
CA-2018-63351,2021-12-19,Same Day,Consumer,Illinois,East,Office Supplies,Phones,3221.34,3,0.28,-608.98
CA-2018-58354,2019-05-18,Same Day,Corporate,Ohio,South,Furniture,Binders,4511.86,2,0.17,-496.14
CA-2015-92018,2018-09-02,Same Day,Corporate,California,East,Furniture,Tables,2546.65,9,0.04,131.63
CA-2015-78497,2018-02-18,Second Class,Corporate,Texas,South,Office Supplies,Copiers,2058.48,1,0.47,-631.29
CA-2016-87505,2017-01-25,Standard Class,Consumer,New York,South,Office Supplies,Chairs,4331.98,7,0.39,-1205.18
CA-2017-71135,2017-10-11,Second Class,Home Office,Illinois,East,Technology,Chairs,3714.68,4,0.42,-1133.92
CA-2019-48467,2021-01-12,Standard Class,Consumer,Washington,Central,Technology,Copiers,4745.39,2,0.18,421.84
CA-2015-96831,2019-05-31,First Class,Home Office,Washington,West,Furniture,Binders,4701.21,2,0.38,-945.96
CA-2018-68871,2017-10-28,Second Class,Corporate,Washington,South,Technology,Binders,1917.81,8,0.24,-14.74
CA-2017-96416,2019-12-28,Second Class,Home Office,New York,Central,Furniture,Chairs,2240.46,7,0.1,-92.02
CA-2015-80091,2019-10-28,First Class,Corporate,Florida,West,Furniture,Chairs,1287.36,7,0.06,104.65
CA-2017-50818,2019-03-28,Standard Class,Corporate,New York,Central,Technology,Copiers,3306.63,5,0.17,-0.69
CA-2019-84290,2020-03-06,Same Day,Home Office,Washington,Central,Technology,Tables,1829.06,8,0.07,48.66
CA-2017-40746,2020-04-02,First Class,Corporate,Ohio,West,Technology,Copiers,3932.64,2,0.5,-1651.52
CA-2016-58404,2017-03-24,Same Day,Home Office,Illinois,South,Office Supplies,Binders,616.54,2,0.02,152.64
CA-2015-49790,2022-04-05,Same Day,Corporate,Texas,Central,Furniture,Copiers,590.85,5,0.22,38.32
CA-2015-50764,2021-08-01,First Class,Consumer,Texas,South,Furniture,Copiers,1030.23,1,0.23,-165.14
CA-2017-66835,2020-12-14,Standard Class,Consumer,New York,South,Furniture,Copiers,430.62,6,0.15,-5.49
CA-2017-83744,2020-01-02,Same Day,Corporate,Washington,South,Technology,Tables,3103.96,4,0.29,-1.33
CA-2018-28589,2020-06-14,First Class,Corporate,California,West,Technology,Accessories,745.29,6,0.07,0.59
CA-2019-92989,2017-02-15,Second Class,Home Office,Ohio,East,Technology,Chairs,808.21,7,0.39,-144.74
CA-2019-53525,2018-09-10,Second Class,Consumer,New York,South,Technology,Paper,81.0,3,0.17,9.97
CA-2017-42635,2019-07-17,Second Class,Home Office,Washington,East,Technology,Copiers,3912.63,8,0.3,-21.3
CA-2015-43828,2021-12-29,First Class,Corporate,Florida,East,Office Supplies,Paper,4063.36,7,0.36,-780.95
CA-2019-10301,2017-09-19,Second Class,Corporate,Texas,Central,Technology,Accessories,818.49,1,0.44,-285.91
CA-2019-76235,2017-06-25,Same Day,Home Office,Texas,South,Furniture,Chairs,3700.23,6,0.42,-1182.15
CA-2015-75726,2020-04-04,Second Class,Corporate,Ohio,South,Technology,Binders,2173.39,7,0.3,-59.98
CA-2019-16102,2018-10-19,Second Class,Consumer,Texas,South,Furniture,Paper,1205.58,4,0.19,106.0
CA-2015-95314,2019-04-22,Same Day,Home Office,California,East,Technology,Binders,3110.71,2,0.25,-149.41
CA-2016-44584,2018-01-05,Second Class,Consumer,Washington,West,Technology,Paper,900.64,9,0.38,-124.7
CA-2016-33093,2021-12-24,Same Day,Consumer,Washington,East,Furniture,Binders,3786.85,7,0.44,-776.37
CA-2016-61885,2017-02-23,Second Class,Consumer,Ohio,South,Furniture,Copiers,247.6,1,0.05,40.97
CA-2016-82991,2018-11-21,Same Day,Home Office,Washington,South,Furniture,Paper,4796.06,8,0.19,320.47
CA-2016-66958,2020-12-13,Second Class,Corporate,Ohio,South,Furniture,Binders,368.66,3,0.39,-62.17
CA-2017-20729,2021-11-15,Same Day,Consumer,Washington,East,Office Supplies,Accessories,2901.45,4,0.22,-105.9
CA-2016-55017,2021-03-11,First Class,Consumer,California,South,Furniture,Tables,4511.95,5,0.17,-274.15
CA-2015-37751,2020-09-26,Same Day,Consumer,Illinois,Central,Technology,Binders,69.4,1,0.21,1.8
CA-2015-88069,2020-02-25,Second Class,Corporate,New York,South,Technology,Tables,2497.59,6,0.3,-328.78
CA-2019-15801,2020-12-03,Second Class,Corporate,New York,West,Office Supplies,Tables,1756.53,6,0.5,-660.99
CA-2016-60993,2022-05-02,Standard Class,Home Office,Washington,Central,Furniture,Chairs,2905.86,2,0.25,1.41
CA-2015-20647,2018-01-02,Same Day,Corporate,Florida,South,Technology,Copiers,1135.03,6,0.1,140.95
CA-2019-98891,2020-07-18,First Class,Home Office,Texas,Central,Office Supplies,Accessories,333.85,8,0.08,68.22
CA-2016-99912,2018-10-06,Same Day,Home Office,California,South,Technology,Tables,3133.41,6,0.02,223.6
CA-2018-80316,2021-06-17,Same Day,Home Office,Florida,West,Office Supplies,Phones,2090.08,4,0.28,-141.5
CA-2018-12368,2018-01-14,First Class,Home Office,Florida,South,Office Supplies,Copiers,3116.2,4,0.27,-495.29
CA-2018-97922,2017-03-14,Same Day,Home Office,Washington,Central,Furniture,Tables,1060.59,9,0.1,186.55
CA-2018-42097,2022-05-01,First Class,Consumer,California,West,Office Supplies,Binders,1700.32,6,0.35,-467.8
CA-2016-20966,2022-04-30,First Class,Corporate,New York,East,Technology,Tables,2812.79,8,0.37,-438.68
CA-2017-62921,2019-07-04,Same Day,Consumer,Texas,West,Technology,Binders,2969.63,8,0.13,349.74
CA-2019-32677,2020-06-25,Same Day,Home Office,New York,West,Furniture,Binders,1867.85,7,0.17,-58.41
CA-2016-66661,2019-05-10,Second Class,Corporate,Florida,West,Furniture,Phones,1407.47,3,0.5,-297.63
CA-2015-80313,2021-12-14,Second Class,Consumer,Texas,Central,Office Supplies,Tables,1375.77,1,0.19,99.99
CA-2017-78027,2017-02-12,Standard Class,Consumer,Illinois,West,Furniture,Tables,881.75,5,0.38,-226.03
CA-2019-90135,2018-01-12,Standard Class,Home Office,Florida,South,Technology,Paper,1633.77,2,0.23,-291.0
CA-2019-13051,2019-12-01,Same Day,Consumer,New York,West,Technology,Copiers,1005.21,2,0.4,-277.27
CA-2018-97142,2017-06-19,First Class,Consumer,New York,West,Furniture,Paper,3172.74,7,0.38,-823.87
CA-2018-64021,2022-05-24,Standard Class,Consumer,Washington,South,Furniture,Chairs,2849.64,3,0.33,-163.88
CA-2019-68335,2017-07-31,Same Day,Consumer,New York,South,Furniture,Binders,1919.12,8,0.43,-265.26
CA-2018-42093,2021-02-25,Standard Class,Consumer,California,East,Office Supplies,Phones,1635.89,9,0.47,-658.27
CA-2017-49734,2021-08-31,First Class,Home Office,Florida,West,Office Supplies,Paper,1195.69,8,0.29,-146.08
CA-2018-27019,2017-02-08,Same Day,Home Office,Ohio,Central,Technology,Tables,2681.94,6,0.12,179.91
CA-2016-93613,2018-01-04,First Class,Consumer,Ohio,West,Office Supplies,Chairs,4595.32,5,0.2,-582.56
CA-2017-96672,2019-01-27,Same Day,Home Office,Texas,West,Office Supplies,Phones,3431.66,3,0.38,-808.59
CA-2017-38251,2017-05-31,Standard Class,Home Office,New York,South,Office Supplies,Accessories,3724.63,3,0.33,-747.64
CA-2016-35945,2020-02-09,Second Class,Corporate,Washington,East,Office Supplies,Tables,4173.55,7,0.09,392.37
CA-2019-42217,2021-02-12,Standard Class,Consumer,Washington,West,Technology,Tables,1764.66,5,0.03,326.99
CA-2019-15949,2020-12-30,Standard Class,Home Office,New York,Central,Furniture,Accessories,323.75,6,0.34,-36.95
CA-2015-84740,2019-12-07,Second Class,Home Office,California,West,Technology,Binders,3116.57,6,0.13,-142.77
CA-2015-76617,2019-10-21,Second Class,Consumer,Washington,Central,Office Supplies,Binders,951.47,9,0.25,3.08
CA-2016-26896,2021-05-18,Same Day,Corporate,Ohio,South,Furniture,Paper,2849.53,1,0.37,-428.47
CA-2016-56175,2019-01-07,Same Day,Consumer,Texas,East,Furniture,Paper,3700.16,8,0.28,-28.61
CA-2015-55543,2020-10-21,First Class,Corporate,Florida,West,Furniture,Tables,3920.36,5,0.04,479.59
CA-2019-13343,2017-03-10,First Class,Consumer,Illinois,East,Technology,Copiers,1516.18,6,0.09,278.18
CA-2019-63222,2017-10-26,Standard Class,Consumer,California,West,Furniture,Tables,2567.04,6,0.11,401.6
CA-2019-69638,2019-08-02,Second Class,Consumer,Washington,Central,Technology,Paper,3108.62,1,0.13,92.02
CA-2017-95067,2019-03-13,First Class,Consumer,Florida,East,Technology,Accessories,4099.21,3,0.28,-552.22
CA-2016-77215,2017-10-23,Standard Class,Corporate,Illinois,West,Office Supplies,Paper,3809.33,6,0.25,126.48
CA-2017-23284,2017-07-22,Second Class,Corporate,New York,South,Office Supplies,Tables,4940.0,9,0.1,636.23
CA-2015-71389,2017-03-02,Same Day,Home Office,New York,Central,Furniture,Phones,50.34,6,0.03,12.69
CA-2018-64340,2019-08-04,Standard Class,Consumer,Texas,East,Furniture,Tables,2193.07,6,0.09,349.23
CA-2015-61293,2019-08-21,Same Day,Corporate,Illinois,West,Office Supplies,Phones,1287.66,1,0.49,-370.43
CA-2018-39124,2022-01-28,First Class,Corporate,New York,East,Technology,Phones,608.27,9,0.23,-91.87
CA-2018-53919,2020-08-30,First Class,Corporate,New York,West,Technology,Tables,4558.46,4,0.43,-1400.04
CA-2016-45247,2020-03-30,Second Class,Consumer,Ohio,Central,Office Supplies,Copiers,4989.83,2,0.42,-637.65
CA-2019-72752,2017-11-27,Standard Class,Home Office,Washington,South,Technology,Copiers,911.18,1,0.26,-118.59
CA-2019-36646,2021-04-01,Same Day,Corporate,Texas,Central,Office Supplies,Chairs,201.78,3,0.35,-55.83
CA-2016-33049,2017-12-04,Second Class,Consumer,Florida,East,Office Supplies,Paper,1382.52,3,0.1,175.43
CA-2019-78385,2021-06-18,First Class,Corporate,New York,East,Furniture,Copiers,4175.96,5,0.34,-444.74
CA-2018-50158,2020-08-20,First Class,Corporate,Ohio,West,Furniture,Binders,1476.51,1,0.14,-27.52
CA-2016-33289,2021-03-07,Standard Class,Home Office,California,Central,Office Supplies,Tables,293.94,7,0.42,-86.88
CA-2017-19823,2021-08-01,Same Day,Corporate,California,West,Furniture,Phones,271.94,1,0.04,34.6
CA-2015-51975,2020-09-23,Standard Class,Corporate,Florida,Central,Office Supplies,Tables,2142.84,4,0.39,-716.89
CA-2019-26364,2021-04-23,Same Day,Consumer,Illinois,East,Technology,Paper,4659.81,6,0.05,919.52
CA-2018-37663,2018-10-01,Same Day,Consumer,Texas,West,Technology,Accessories,1436.74,1,0.44,-446.44
CA-2016-59115,2017-10-02,Standard Class,Home Office,Ohio,West,Technology,Copiers,2141.52,7,0.15,242.94
CA-2017-76387,2020-04-02,Second Class,Consumer,Washington,Central,Technology,Copiers,518.65,7,0.33,-41.15
CA-2018-82369,2021-01-06,Standard Class,Consumer,Ohio,South,Office Supplies,Copiers,2472.93,3,0.24,-60.96
CA-2017-45195,2017-11-15,Standard Class,Home Office,California,Central,Technology,Phones,3485.77,4,0.18,-170.04
CA-2015-14000,2018-08-12,First Class,Corporate,California,South,Technology,Binders,1363.04,6,0.32,-192.08
CA-2019-48304,2018-05-19,First Class,Home Office,Florida,Central,Technology,Binders,1490.59,7,0.47,-460.28
CA-2016-92986,2021-09-06,Standard Class,Consumer,Illinois,East,Technology,Copiers,4211.46,4,0.02,483.14
CA-2018-30764,2018-01-22,Standard Class,Home Office,Illinois,West,Office Supplies,Binders,61.71,9,0.46,-12.22
CA-2019-96027,2022-06-17,First Class,Corporate,Florida,Central,Technology,Accessories,3185.99,9,0.3,-411.39
CA-2016-37350,2019-05-20,Same Day,Home Office,Ohio,East,Furniture,Copiers,1975.48,9,0.4,-280.16
CA-2015-35351,2019-04-13,Standard Class,Consumer,California,Central,Furniture,Chairs,1498.92,6,0.19,-170.42
CA-2019-25305,2019-10-12,Second Class,Consumer,Ohio,West,Furniture,Phones,3291.39,2,0.24,-509.32
CA-2016-86797,2022-03-27,Second Class,Home Office,Ohio,Central,Furniture,Accessories,4175.0,2,0.43,-566.42
CA-2016-67458,2018-08-26,Second Class,Corporate,Texas,South,Furniture,Phones,2796.38,4,0.21,-36.51
CA-2015-30358,2021-11-09,Standard Class,Home Office,California,West,Furniture,Copiers,165.16,9,0.27,-15.29
CA-2018-92745,2021-12-05,Same Day,Corporate,Illinois,South,Office Supplies,Accessories,2312.39,3,0.01,394.93
CA-2019-48513,2018-11-22,Same Day,Corporate,Washington,East,Furniture,Copiers,2319.17,6,0.08,55.24
CA-2019-21338,2018-05-09,First Class,Home Office,Ohio,East,Technology,Accessories,2723.55,2,0.32,-246.0
CA-2019-17543,2018-05-05,Standard Class,Corporate,California,Central,Furniture,Copiers,3358.08,1,0.36,-969.83
CA-2018-43496,2018-12-22,Same Day,Consumer,Ohio,South,Office Supplies,Chairs,106.4,5,0.29,-10.29
CA-2019-99084,2020-01-02,Standard Class,Home Office,Texas,South,Furniture,Phones,2515.04,8,0.07,308.58
CA-2015-54425,2018-05-24,First Class,Corporate,New York,West,Technology,Accessories,2945.66,2,0.22,172.46
CA-2019-28888,2018-01-25,First Class,Consumer,California,South,Technology,Chairs,1723.33,9,0.18,2.66
CA-2017-93042,2021-07-01,First Class,Home Office,Florida,South,Office Supplies,Tables,3345.14,8,0.25,-554.4
CA-2018-47841,2022-02-24,Second Class,Consumer,New York,West,Office Supplies,Copiers,1148.61,3,0.44,-283.49
CA-2015-75510,2017-10-22,Standard Class,Consumer,Ohio,West,Office Supplies,Paper,1593.69,1,0.39,-505.47
